symbol,NGF-1-1,NGF-1-2,NGF-1-3,NGF-1-4,NGF-2-1,NGF-2-2,NGF-2-3,NGF-2-4,NGF-3-1,NGF-3-2,NGF-3-3,NGF-3-4,NGF-C-1,NGF-C-2,NGF-C-3,NGF-1-5,NGF-1-6,NGF-1-7,NGF-2-5,NGF-2-6,NGF-2-7,NGF-3-5,NGF-3-6,NGF-3-7,NGF-7-1,NGF-7-2,NGF-7-3,NGF-C-4,NGF-C-5,NGF-C-6,NGF-1-10,NGF-1-8,NGF-1-9,NGF-2-10,NGF-2-8,NGF-2-9,NGF-3-10,NGF-3-8,NGF-3-9,NGF-7-4,NGF-7-5,NGF-7-6,NGF-C-7,NGF-C-8,NGF-C-9,NGF-1-11,NGF-1-12,NGF-1-13,NGF-1-14,NGF-1-15,NGF-2-11,NGF-2-12,NGF-2-13,NGF-2-14,NGF-2-15,NGF-3-11,NGF-3-12,NGF-3-13,NGF-3-14,NGF-3-15,NGF-C-10,NGF-C-11,NGF-C-12,NGF-C-13,NGF-C-14,NGF-C-15
A1bg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
A1cf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
A1i3,0,0,0,0,1,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
A2m,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A3galt2,0,1,0,0,0,11,144,13,2,1,1,13,0,0,21,0,0,0,0,1,2,16,2,0,0,0,0,0,1085,0,846,3,96,0,1004,0,1,2339,2,0,0,0,1,15,1,1,33,0,0,0,9,4,0,12,0,4,0,0,7,0,105,0,6,9,0,35
A4galt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AA926063,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Aaas,0,0,0,331,0,120,10,0,1,5,1,11,0,547,31,44,0,0,1,0,95,1,2,1,2,0,0,8,0,0,3,0,1,0,0,5,2,0,0,0,0,0,50,175,51,283,2,1,4,1,13,8,6,0,0,401,0,1,0,0,34,0,0,3,0,13
Aacs,4,41,50,8,229,26,8,22,19,16,40,20,10,75,34,3500,4,2,3,12,3,55,44,17,44,10,2,11,1,7,31,2,0,2,3,0,11,7,1,0,5,54,6,163,58,3,3,1,10,1,17,2,3,4,121,45,4,4,48,0,260,11,2,292,9,151
Aadacl2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aadacl3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Aadac,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aadat,0,0,0,0,174,0,0,0,0,33,1,27,0,0,0,0,0,0,0,0,0,1,0,0,97,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,6,0,0,0,0,0,98,0,0,0,0,0,0,2,0,10,0,2,2,6,0,0,0
Aaed1,0,0,0,1,25,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,503,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,2,1,0,2,4,0,0,1,0,1757,0,1,1,0,0,1,3
Aagab,0,0,0,0,0,1066,3,0,0,0,1,0,149,0,2,32,0,0,2,0,0,14,0,0,63,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,4,14,0,0,0,0,0,1,7,0,0,0,1,7,0,0,0,0,80,0,0,309,0,14
Aak1,1,2,0,0,55,11,0,2,768,2,2,1,1,0,0,692,0,0,0,2,60,1,15,1,83,3,0,0,3,0,0,0,1,0,0,0,0,1,0,0,0,0,1,2,1,1,0,0,2,1,0,1,0,0,23,1,8,0,0,0,338,0,0,9,0,0
Aamdc,0,0,0,0,89,128,8,1216,0,227,0,0,0,0,1,1205,286,0,0,190,0,0,46,1,116,1,0,0,0,0,0,0,3,0,24,1,0,2,0,2,0,15,0,0,1,10,0,0,0,7,90,0,1,244,0,3,1,0,0,0,3,3,0,0,0,104
Aamp,123,3568,42,1026,1272,1800,807,4481,3344,568,476,490,162,3137,1457,2094,2289,105,3448,541,185,757,630,1834,563,30,53,1599,2116,694,216,4342,471,8145,1323,354,2493,260,1117,126,5,176,2155,218,210,2582,362,46,945,596,575,900,3850,690,10,461,505,408,2016,457,1579,168,197,2685,16,1419
Aanat,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0
Aar2,0,0,0,0,1,4,0,0,0,0,0,125,0,0,48,2,0,0,11,5,0,7,38,0,1,1,1,0,0,0,0,0,12,0,2,28,3,0,19248,1,0,14,7,0,27,3,1,0,0,13,1,0,3,0,0,0,0,4,0,0,3,0,10,133,0,25
Aard,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
Aars2,0,0,0,0,0,215,2,0,0,0,0,0,2,1,0,0,1,0,0,379,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,10,0,1,0,0,0,1,0,27,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,1,1,0,0
Aarsd1,75,25,24,16,933,1605,18,306,275,363,257,143,21,985,674,384,280,88,520,454,2367,424,175,43,309,7,14,5750,1985,4322,174,256,33,0,1344,887,1466,2187,1,9,2,52,1632,2270,360,607,151,1644,423,434,153,965,442,34,191,1134,9,1937,92,358,509,177,51,391,19,1006
Aars,314,1337,78,836,6456,6114,5759,5283,5450,4413,3637,2312,4545,6886,10307,18680,1317,7744,8611,4536,10907,4244,8516,9070,4438,132,187,15379,6248,7257,296,2593,7469,394,9175,12955,8197,1362,1104,548,31,513,13696,10200,4654,1960,4031,0,4337,1782,2120,1843,2057,2385,1236,2877,2567,150,2488,616,6341,642,414,7131,116,9228
Aasdhppt,1,657,18,5,2148,2295,172,1045,4121,122,154,16,1184,84,273,87,0,217,5310,18,0,2846,75,1032,1768,42,107,4113,312,59,4406,3322,14,122,1528,708,4774,29,93,26,18,199,3489,4503,2355,2835,4288,20,254,746,291,1341,6,10,2222,68,594,2,2452,291,538,47,17,668,162,3703
Aass,0,58,0,0,84,51,49,0,1215,1,23,87,804,5,169,0,0,1,0,5,0,67,469,0,417,1,1,0,0,10,0,2,0,0,64,0,412,0,0,1,6,2,21,0,2389,1,0,0,0,2,1,12,0,2,25,332,0,8,83,0,74,97,42,80,0,0
Aatf,182,210,0,0,1275,1336,765,297,2082,458,700,320,19,1970,621,2062,715,465,7,1918,3603,671,3006,1733,885,19,13,2123,268,244,36,506,0,0,924,1790,2155,354,726,162,5,165,1523,1897,2172,453,15,0,0,395,940,508,1016,1151,221,855,580,2,1452,4,1292,2,5,294,40,287
Aatk,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1,1,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,1,0,1,1,1,1,4,1,1,2,0,2,1,1,0,3,0,1,10,1,0
Abat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Abca1,0,0,1,0,552,0,0,0,0,0,0,0,1,0,4,0,0,0,1,2,0,2,1,2,2,2,6,0,0,0,0,116,1,1,5,1,0,1,1,41,0,0,0,1,15,1,0,0,1,3,0,15,269,3,0,0,0,1,260,0,77,4,0,0,0,1
Abca2,3,0,0,1,15,14,196,0,0,3,2,2,14,2,476,54,0,0,3,64,0,7,33,9,388,0,1,0,22,3,0,0,0,1,0,60,220,2,0,1,0,1,4,16,0,2,0,1,8,1,1,1,14,0,0,70,0,1,2,0,8,0,0,2,0,3
