Sample,Group,Batch,Annotation
NGF-1-1,1,1,O
NGF-1-2,1,1,N
NGF-1-3,1,1,Y
NGF-1-4,1,1,N
NGF-2-1,2,1,N
NGF-2-2,2,1,N
NGF-2-3,2,1,N
NGF-2-4,2,1,N
NGF-3-1,3,1,Y
NGF-3-2,3,1,Y
NGF-3-3,3,1,Y
NGF-3-4,3,1,Y
NGF-C-1,C,1,N
NGF-C-2,C,1,O
NGF-C-3,C,1,N
NGF-1-5,1,2,N
NGF-1-6,1,2,N
NGF-1-7,1,2,O
NGF-2-5,2,2,N
NGF-2-6,2,2,N
NGF-2-7,2,2,Y
NGF-3-5,3,2,Y
NGF-3-6,3,2,Y
NGF-3-7,3,2,Y
NGF-7-1,7,2,Y
NGF-7-2,7,2,Y
NGF-7-3,7,2,Y
NGF-C-4,C,2,N
NGF-C-5,C,2,N
NGF-C-6,C,2,N
NGF-1-10,1,3,Y
NGF-1-8,1,3,N
NGF-1-9,1,3,N
NGF-2-10,2,3,O
NGF-2-8,2,3,N
NGF-2-9,2,3,Y
NGF-3-10,3,3,Y
NGF-3-8,3,3,N
NGF-3-9,3,3,Y
NGF-7-4,7,3,Y
NGF-7-5,7,3,O
NGF-7-6,7,3,Y
NGF-C-7,C,3,N
NGF-C-8,C,3,N
NGF-C-9,C,3,O
