symbol,NGF2-1-5,NGF2-1-6,NGF2-1-7,NGF2-2-5,NGF2-2-6,NGF2-2-7,NGF2-3-5,NGF2-3-6,NGF2-3-7,NGF2-7-5,NGF2-7-6,NGF2-7-7,NGF2-C-5,NGF2-C-7,NGF2-1-1,NGF2-1-2,NGF2-1-3,NGF2-2-1,NGF2-2-2,NGF2-2-3,NGF2-3-1,NGF2-3-2,NGF2-3-3,NGF2-7-1,NGF2-7-2,NGF2-7-3,NGF2-C-1,NGF2-C-2,NGF2-C-3,NGF2-1-10,NGF2-1-8,NGF2-1-9,NGF2-2-10,NGF2-2-8,NGF2-2-9,NGF2-3-10,NGF2-3-8,NGF2-3-9,NGF2-7-10,NGF2-7-8,NGF2-7-9,NGF2-C-10,NGF2-C-8,NGF2-C-9,NGF2-1-14,NGF2-1-15,NGF2-1-4,NGF2-2-14,NGF2-2-15,NGF2-2-4,NGF2-3-14,NGF2-3-15,NGF2-3-4,NGF2-7-14,NGF2-7-15,NGF2-7-16,NGF2-7-4,NGF2-C-14,NGF2-C-15,NGF2-C-4,NGF2-1-11,NGF2-1-12,NGF2-1-13,NGF2-2-11,NGF2-2-12,NGF2-2-13,NGF2-3-11,NGF2-3-12,NGF2-3-13,NGF2-7-11,NGF2-7-12,NGF2-7-13,NGF2-C-11,NGF2-C-12,NGF2-C-13
A1bg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,0,0,0
A1cf,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,3,0,0,0,0,1,0,0,0,1,0,0,0
A1i3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A2m,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
A3galt2,1568,99,310,0,0,5,3,0,5,3,2,4,17,0,0,0,0,0,0,0,0,0,1,34,9,1,0,0,0,0,0,12,18,0,0,5,7,164,2,0,8,0,0,0,0,0,1,1,0,0,0,2,1,7,0,9,3,1,0,1,1,1,1,0,0,0,0,0,0,115,0,11,0,7,0
A4galt,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0
AA926063,1,0,12,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Aaas,0,2,5,0,4,0,0,19,0,0,10,6,2,13,0,0,0,29,1,0,0,2,2,59,42,2,0,0,0,2,0,5,0,2,24,1,14,12,72,8,30,0,0,1,0,0,0,4,1,1,0,8,0,0,4,1,3,1,0,0,0,0,0,0,0,0,1,0,2,264,79,10,3,2,1
Aacs,3,91,36,9,9,13,12,9,45,16,116,2,12,11,15,7,4,7,7,17,12,461,12,67,7,2,13,8,11,6,13,5,3,5,1,4,1,5,7,402,276,1,5,5,15,325,3,150,4,12,10,9,7,110,10,1886,12,17,8,29,14,6,5,30,3,4,10,13,8,43,789,96,6,362,12
Aadacl2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
