symbol,NGF3-1-1,NGF3-1-2,NGF3-1-3,NGF3-2-1,NGF3-2-2,NGF3-2-3,NGF3-3-1,NGF3-3-2,NGF3-3-3,NGF3-7-1,NGF3-7-2,NGF3-7-3,NGF3-7-4,NGF3-7-5,NGF3-7-6,NGF3-7-7,NGF3-7-8,NGF3-C-1,NGF3-C-2,NGF3-C-3,NGF3-1-4,NGF3-1-5,NGF3-1-6,NGF3-2-4,NGF3-2-5,NGF3-2-6,NGF3-3-4,NGF3-3-5,NGF3-3-6,NGF3-7-10,NGF3-7-11,NGF3-7-12,NGF3-7-13,NGF3-7-14,NGF3-7-15,NGF3-7-16,NGF3-7-9,NGF3-C-4,NGF3-C-5,NGF3-C-6
A1bg,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A1cf,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
A1i3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A2m,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A3galt2,8,0,0,0,0,0,6,23,0,90,219,6,7,7,53,23,1,0,1,4,0,0,0,22,9,665,0,4,2,0,1,0,3,0,4,4,0,0,1,5
A4galt,0,0,0,0,1,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
AA926063,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Aaas,2,0,0,0,389,0,2,1,5,4,73,0,118,2,19,1,2,0,4,0,0,1,0,0,0,0,1,1,0,2,2,0,3,0,0,0,0,3,3,0
Aacs,2,1,230,25,0,4,78,2,2,97,10,164,53,290,47,74,6,31,2,3,5,1,4,6,288,0,0,0,4,50,4,66,655,175,4,0,3,2,4,3
Aadacl2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aadacl3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aadac,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aadat,0,0,12,0,0,0,0,3,0,0,3,7,129,0,3,0,7,0,0,0,0,0,0,0,0,1,0,0,0,0,11,0,0,0,0,0,0,0,0,0
Aaed1,139,0,0,0,1,0,0,0,0,0,0,0,0,0,8,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,166,1,0,0,5,3,0,769,7,0
Aagab,215,0,0,0,69,0,0,0,23,4,2,142,734,0,0,0,0,0,202,0,1,0,0,285,0,0,0,41,0,1,28,0,0,1,396,0,1,0,0,57
Aak1,0,0,2,1,1,0,5,0,1,134,2,0,5,0,0,10,1,0,0,0,0,0,3,0,0,0,0,1,0,1,84,1,0,0,3,0,0,0,0,2
Aamdc,0,0,0,0,0,14,104,0,0,35,1,0,64,32,0,442,2,0,0,7,101,0,1,0,1,1,0,2931,3,13,1,0,0,0,5,0,0,1,4,0
Aamp,555,2167,231,181,1490,88,4441,4362,600,1012,1411,281,454,1024,68,1568,2698,435,1881,575,2723,4658,4,290,2033,50,4163,59,1313,2568,1071,2735,751,20,629,1630,947,32,2,42
Aanat,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Aar2,0,0,0,0,1,0,6,1,0,12,38,0,109,0,6,0,0,1,0,0,0,0,0,2,0,0,0,9,0,0,0,0,0,0,0,2,0,0,0,0
Aard,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,183,0,0,0,2,0
Aars2,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0
Aarsd1,95,5083,185,1,1523,153,200,283,54,320,129,60,131,1163,31,375,6632,42,13,14,1376,2,5,1823,2,17,1812,1560,3261,14,1123,17,52,24,190,8,17,20,1,2
Aars,2826,1339,622,323,6730,113,4370,7724,3886,11977,3348,7823,9460,3860,304,7006,3767,2912,6275,356,1812,125,952,3303,2469,37,1519,2362,4323,3373,3176,5196,3533,235,1920,1752,4373,893,4763,602
