symbol,NGF4-1-1,NGF4-1-2,NGF4-1-3,NGF4-1-4,NGF4-1-5,NGF4-2-1,NGF4-2-2,NGF4-2-3,NGF4-2-4,NGF4-2-5,NGF4-3-1,NGF4-3-2,NGF4-3-3,NGF4-3-4,NGF4-3-5,NGF4-7-1,NGF4-7-2,NGF4-7-3,NGF4-7-4,NGF4-7-5,NGF4-C-1,NGF4-C-2,NGF4-C-3,NGF4-C-4,NGF4-C-5,NGF4-1-10,NGF4-1-6,NGF4-1-7,NGF4-1-8,NGF4-1-9,NGF4-2-10,NGF4-2-6,NGF4-2-7,NGF4-2-8,NGF4-2-9,NGF4-3-10,NGF4-3-6,NGF4-3-7,NGF4-3-8,NGF4-3-9,NGF4-7-10,NGF4-7-6,NGF4-7-7,NGF4-7-8,NGF4-7-9,NGF4-C-10,NGF4-C-6,NGF4-C-7,NGF4-C-8,NGF4-C-9,NGF4-1-11,NGF4-1-12,NGF4-1-13,NGF4-1-14,NGF4-1-15,NGF4-2-11,NGF4-2-12,NGF4-2-13,NGF4-2-14,NGF4-2-15,NGF4-3-11,NGF4-3-12,NGF4-3-13,NGF4-3-14,NGF4-3-15,NGF4-7-11,NGF4-7-12,NGF4-7-13,NGF4-7-14,NGF4-7-15,NGF4-C-11,NGF4-C-12,NGF4-C-13,NGF4-C-14,NGF4-C-15
A1bg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A1cf,1,0,0,0,0,0,0,0,0,16,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A1i3,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
A2m,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A3galt2,2,6,0,12,0,1,318,0,6,0,2,4,33,5,7,2,1,3,35,0,46,0,1,30,194,50,34,3,0,0,14,4,6,16,3,0,0,7,256,8,73,0,0,29,5,15,26,23,3,7,3,5,0,30,9,0,1,79,170,0,5,0,0,9,0,1,0,0,0,5,8,0,1,1,0
A4galt,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0
AA926063,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,0,0,147,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0
Aaas,12,0,1,6,1,1,4,30,0,1,42,3,8,5,5,0,34,0,3,1,4,7,1,0,136,1,57,0,1,0,0,1,3,17,57,1,2,5,0,0,3,0,1,0,14,1,0,2,4,0,10,0,0,2,2,0,3,24,1,1,13,5,0,0,31,0,0,0,0,1,2,1,0,0,0
Aacs,174,274,154,74,62,8,359,21,1,16,84,120,213,12,288,171,29,217,106,268,19,112,39,344,758,69,384,11,1,21,242,130,100,39,26,64,145,65,5,1,227,20,37,111,166,3,69,73,371,7,274,5,1529,166,17,54,72,145,35,13,60,6,37,165,48,2,2,1,1,92,46,79,2,36,0
Aadacl2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aadacl3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Aadac,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,155,0,0,0,0,0,0,0,0,0,0
Aadat,0,115,2,127,0,519,0,0,2,0,1,4,19,12,30,2,1,1,32,0,39,1,1,0,0,17,160,3,33,0,31,146,10,12,2,2,13,146,0,8,35,11,0,123,28,0,0,0,0,2,3,75,0,0,2,1,279,3,3,22,0,0,4,168,1,1,0,8,0,1,3,0,3,1,0
