Sample,Group,Batch,Annotation
NGF4-1-1,1,1,N
NGF4-1-2,1,1,N
NGF4-1-3,1,1,Y
NGF4-1-4,1,1,N
NGF4-1-5,1,1,N
NGF4-2-1,2,1,Y
NGF4-2-2,2,1,Y
NGF4-2-3,2,1,Y
NGF4-2-4,2,1,Y
NGF4-2-5,2,1,Y
NGF4-3-1,3,1,Y
NGF4-3-2,3,1,Y
NGF4-3-3,3,1,N
NGF4-3-4,3,1,Y
NGF4-3-5,3,1,Y
NGF4-7-1,7,1,Y
NGF4-7-2,7,1,Y
NGF4-7-3,7,1,N
NGF4-7-4,7,1,Y
NGF4-7-5,7,1,Y
NGF4-C-1,C,1,N
NGF4-C-2,C,1,N
NGF4-C-3,C,1,N
NGF4-C-4,C,1,N
NGF4-C-5,C,1,N
NGF4-1-10,1,2,N
NGF4-1-6,1,2,N
NGF4-1-7,1,2,N
NGF4-1-8,1,2,N
NGF4-1-9,1,2,N
NGF4-2-10,2,2,N
NGF4-2-6,2,2,Y
NGF4-2-7,2,2,Y
NGF4-2-8,2,2,Y
NGF4-2-9,2,2,N
NGF4-3-10,3,2,N
NGF4-3-6,3,2,Y
NGF4-3-7,3,2,Y
NGF4-3-8,3,2,Y
NGF4-3-9,3,2,Y
NGF4-7-10,7,2,Y
NGF4-7-6,7,2,N
NGF4-7-7,7,2,Y
NGF4-7-8,7,2,Y
NGF4-7-9,7,2,Y
NGF4-C-10,C,2,N
NGF4-C-6,C,2,N
NGF4-C-7,C,2,N
NGF4-C-8,C,2,N
NGF4-C-9,C,2,N
NGF4-1-11,1,3,N
NGF4-1-12,1,3,N
NGF4-1-13,1,3,N
NGF4-1-14,1,3,N
NGF4-1-15,1,3,N
NGF4-2-11,2,3,N
NGF4-2-12,2,3,Y
NGF4-2-13,2,3,Y
NGF4-2-14,2,3,N
NGF4-2-15,2,3,Y
NGF4-3-11,3,3,Y
NGF4-3-12,3,3,N
NGF4-3-13,3,3,Y
NGF4-3-14,3,3,Y
NGF4-3-15,3,3,Y
NGF4-7-11,7,3,Y
NGF4-7-12,7,3,Y
NGF4-7-13,7,3,Y
NGF4-7-14,7,3,Y
NGF4-7-15,7,3,Y
NGF4-C-11,C,3,N
NGF4-C-12,C,3,N
NGF4-C-13,C,3,N
NGF4-C-14,C,3,N
NGF4-C-15,C,3,N
