Sample,Group,Batch,Annotation,Dataset
NGF2-1-5,1,ngf2-1,Y,ngf2
NGF2-1-6,1,ngf2-1,N,ngf2
NGF2-2-5,2,ngf2-1,Y,ngf2
NGF2-2-6,2,ngf2-1,Y,ngf2
NGF2-2-7,2,ngf2-1,Y,ngf2
NGF2-3-5,3,ngf2-1,Y,ngf2
NGF2-3-6,3,ngf2-1,Y,ngf2
NGF2-3-7,3,ngf2-1,Y,ngf2
NGF2-7-5,7,ngf2-1,Y,ngf2
NGF2-C-7,C,ngf2-1,N,ngf2
NGF2-1-1,1,ngf2-2,N,ngf2
NGF2-1-2,1,ngf2-2,Y,ngf2
NGF2-1-3,1,ngf2-2,Y,ngf2
NGF2-2-1,2,ngf2-2,Y,ngf2
NGF2-2-2,2,ngf2-2,Y,ngf2
NGF2-2-3,2,ngf2-2,Y,ngf2
NGF2-3-1,3,ngf2-2,Y,ngf2
NGF2-3-2,3,ngf2-2,Y,ngf2
NGF2-3-3,3,ngf2-2,Y,ngf2
NGF2-7-2,7,ngf2-2,Y,ngf2
NGF2-C-1,C,ngf2-2,N,ngf2
NGF2-C-2,C,ngf2-2,N,ngf2
NGF2-C-3,C,ngf2-2,N,ngf2
NGF2-2-10,2,ngf2-3,Y,ngf2
NGF2-2-8,2,ngf2-3,Y,ngf2
NGF2-2-9,2,ngf2-3,Y,ngf2
NGF2-3-10,3,ngf2-3,Y,ngf2
NGF2-3-9,3,ngf2-3,Y,ngf2
NGF2-7-10,7,ngf2-3,Y,ngf2
NGF2-7-8,7,ngf2-3,Y,ngf2
NGF2-7-9,7,ngf2-3,Y,ngf2
NGF2-C-10,C,ngf2-3,N,ngf2
NGF2-C-8,C,ngf2-3,N,ngf2
NGF2-C-9,C,ngf2-3,N,ngf2
NGF2-1-14,1,ngf2-4,Y,ngf2
NGF2-1-15,1,ngf2-4,N,ngf2
NGF2-1-4,1,ngf2-4,N,ngf2
NGF2-2-14,2,ngf2-4,Y,ngf2
NGF2-2-15,2,ngf2-4,Y,ngf2
NGF2-2-4,2,ngf2-4,Y,ngf2
NGF2-3-14,3,ngf2-4,Y,ngf2
NGF2-3-15,3,ngf2-4,Y,ngf2
